api_name,version,scope,description
iamcredentials,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
iap,v1beta1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
iap,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
identitytoolkit,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
identitytoolkit,v1,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
identitytoolkit,v2,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
identitytoolkit,v2,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
identitytoolkit,v3,https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
identitytoolkit,v3,https://www.googleapis.com/auth/cloud-platform,View and manage your data across Google Cloud Platform services
ids,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
indexing,v3,https://www.googleapis.com/auth/indexing,Submit data to Google for indexing
integrations,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
jobs,v3p1beta1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
jobs,v3p1beta1,https://www.googleapis.com/auth/jobs,Manage job postings
jobs,v3,https://www.googleapis.com/auth/jobs,Manage job postings
jobs,v3,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
jobs,v4,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
jobs,v4,https://www.googleapis.com/auth/jobs,Manage job postings
keep,v1,https://www.googleapis.com/auth/keep,"See, edit, create and permanently delete all your Google Keep data"
keep,v1,https://www.googleapis.com/auth/keep.readonly,View all your Google Keep data
kmsinventory,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
language,v1beta2,https://www.googleapis.com/auth/cloud-language,Apply machine learning models to reveal the structure and meaning of text
language,v1beta2,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
language,v1,https://www.googleapis.com/auth/cloud-language,Apply machine learning models to reveal the structure and meaning of text
language,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
language,v2,https://www.googleapis.com/auth/cloud-language,Apply machine learning models to reveal the structure and meaning of text
language,v2,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
libraryagent,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
licensing,v1,https://www.googleapis.com/auth/apps.licensing,View and manage Google Workspace licenses for your domain
localservices,v1,https://www.googleapis.com/auth/adwords,"See, edit, create, and delete your Google Ads accounts and data."
logging,v2,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
logging,v2,https://www.googleapis.com/auth/cloud-platform.read-only,View your data across Google Cloud services and see the email address of your Google Account
logging,v2,https://www.googleapis.com/auth/logging.write,Submit log data for your projects
logging,v2,https://www.googleapis.com/auth/logging.read,View log data for your projects
logging,v2,https://www.googleapis.com/auth/logging.admin,Administrate log data for your projects
looker,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
managedidentities,v1alpha1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
managedidentities,v1beta1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
managedidentities,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
managedkafka,v1,https://www.googleapis.com/auth/cloud-platform,"See, edit, configure, and delete your Google Cloud data and see the email address for your Google Account."
manufacturers,v1,https://www.googleapis.com/auth/manufacturercenter,Manage your product listings for Google Manufacturer Center
marketingplatformadmin,v1alpha,https://www.googleapis.com/auth/marketingplatformadmin.analytics.read,View your Google Analytics product account data in GMP home
marketingplatformadmin,v1alpha,https://www.googleapis.com/auth/marketingplatformadmin.analytics.update,Manage your Google Analytics product account data in GMP home
meet,v2,https://www.googleapis.com/auth/meetings.space.readonly,Read information about any of your Google Meet conferences
